g__Bilophila	 f__Desulfovibrionaceae	 o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__	0.000139798645197
g__Slackia	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	2.16595604751e-05
g__Sutterella	 f__Alcaligenaceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	0.0104597452531
g__Fusobacterium	 f__Fusobacteriaceae	 o__Fusobacteriales	 c__Fusobacteria	 p__Fusobacteria	k__	0.000378671027591
g__	 f__Peptococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	9.08872202111e-05
g__	 f__	 o__YS2	 c__4C0d-2	 p__Cyanobacteria	k__	0.000712649480383
g__Oscillospira	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.0272914916102
g__Clostridium	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	0.00236202993245
g__Citrobacter	 f__Enterobacteriaceae	 o__Enterobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	9.00496050399e-06
g__Prevotella	 f__Prevotellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.0312808120754
g__Coprococcus	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.00626802398631
g__	 f__	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.0263294207981
g__Lachnospira	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.00742460895487
g__Porphyromonas	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	9.80157010463e-06
g__Adlercreutzia	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	4.99387481249e-05
g__Lachnobacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.00112134032551
g__Ruminococcus	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.00410524957683
g__Peptococcus	 f__Peptococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	2.77346247561e-06
g__Dehalobacterium	 f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	8.84414574853e-05
g__	 f__Victivallaceae	 o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	0.000113020684526
g__	 f__	 o__	 c__	 p__Tenericutes	k__	0.000182608108331
g__Campylobacter	 f__Campylobacteraceae	 o__Campylobacterales	 c__Epsilonproteobacteria	 p__Proteobacteria	k__	1.08329811362e-05
g__Lactobacillus	 f__Lactobacillaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	5.75913517116e-05
g__	 f__Anaeroplasmataceae	 o__Anaeroplasmatales	 c__Mollicutes	 p__Tenericutes	k__	0.00012070398822
g__Anaerofilum	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	1.91368023692e-05
g__Roseburia	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.0237339498946
g__	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.0247345873524
g__Enterococcus	 f__Enterococcaceae	 o__Lactobacillales	 c__Bacilli	 p__Firmicutes	k__	1.59923616075e-05
g__	 f__	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	0.000265703701053
g__Parabacteroides	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.0390623990789
g__Clostridium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.00729162025276
g__Faecalibacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.0487382065803
g__	 f__Turicibacteraceae	 o__Turicibacterales	 c__Bacilli	 p__Firmicutes	k__	0.000136483001362
g__	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.024747790416
g__Anaerovorax	 f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	1.8599021795e-05
g__Clostridium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.00227116968968
g__Veillonella	 f__Veillonellaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.000266291981627
g__	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.00370952316536
