g__Bilophila	 f__Desulfovibrionaceae	 o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__	g__Bifidobacterium	 f__Bifidobacteriaceae	 o__Bifidobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.261700504318	4.67854722738e-06
g__	 f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	g__	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.354702440283	2.90969715969e-10
g__	 f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.536853523811	1.20356086999e-23
g__	 f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.404447078004	3.72320105621e-13
g__	 f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	g__	 f__	 o__	 c__	 p__	k__	0.286210473888	5.0208393568e-07
g__	 f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	g__	 f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.466312483056	1.70672468114e-17
g__	 f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	g__	 f__	 o__	 c__Clostridia	 p__Firmicutes	k__	0.312288766244	3.65806931712e-08
g__	 f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	g__	 f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.356523173635	2.32512894905e-10
g__	 f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	g__	 f__	 o__	 c__Mollicutes	 p__Tenericutes	k__	0.268299324663	2.62046014241e-06
g__	 f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	g__Oscillospira	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.297129491884	1.73032983963e-07
g__	 f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	g__Coprococcus	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.337537686344	2.24942546642e-09
g__	 f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	g__Lachnobacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.269914460274	2.26848796289e-06
g__	 f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	g__Dehalobacterium	 f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.314838063622	2.79233041592e-08
g__	 f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	g__	 f__Victivallaceae	 o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	0.28574303423	5.24990517942e-07
g__	 f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	g__	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.388075880097	3.78042809104e-12
g__	 f__	 o__	 c__ML615J-28	 p__Tenericutes	k__	g__	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.298958403209	1.44122989869e-07
g__Cloacibacillus	 f__Synergistaceae	 o__Synergistales	 c__Synergistia	 p__Synergistetes	k__	g__Collinsella	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.273881339035	1.58547495981e-06
g__	 f__Puniceicoccaceae	 o__Puniceicoccales	 c__Opitutae	 p__Verrucomicrobia	k__	g__	 f__	 o__	 c__Clostridia	 p__Firmicutes	k__	0.288425103207	4.05978707213e-07
g__	 f__Puniceicoccaceae	 o__Puniceicoccales	 c__Opitutae	 p__Verrucomicrobia	k__	g__	 f__Victivallaceae	 o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	0.295826888423	1.96943485522e-07
g__	 f__	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	g__Pseudobutyrivibrio	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.329197772051	5.81373134244e-09
g__	 f__	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	g__	 f__	 o__	 c__	 p__Firmicutes	k__	0.295654476055	2.00336959651e-07
g__	 f__	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	g__	 f__	 o__	 c__	 p__Tenericutes	k__	0.567516438633	8.39124216042e-27
g__	 f__ClostridialesFamilyXI.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Coprobacillus	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	0.286198838624	5.02642293028e-07
g__	 f__ClostridialesFamilyXI.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Propionibacterium	 f__Propionibacteriaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__	0.364770594419	8.2686827884e-11
g__	 f__ClostridialesFamilyXI.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Porphyromonas	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.413292480793	1.0083437979e-13
g__	 f__ClostridialesFamilyXI.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Campylobacter	 f__Campylobacteraceae	 o__Campylobacterales	 c__Epsilonproteobacteria	 p__Proteobacteria	k__	0.362606804652	1.08763930537e-10
g__Alistipes	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.320400766772	1.53529165508e-08
g__Alistipes	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__Akkermansia	 f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__	0.264409758747	3.69462381552e-06
g__Alistipes	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.379251274356	1.25165429278e-11
g__Alistipes	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.328295108317	6.43208000921e-09
g__Alistipes	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__Subdoligranulum	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.274090296476	1.5555930577e-06
g__Alistipes	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__Odoribacter	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.388819269213	3.41213054347e-12
g__Alistipes	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__Oscillospira	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.349807794262	5.27998456847e-10
g__Alistipes	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.312299387232	3.65397508682e-08
g__Alistipes	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	g__	 f__Rikenellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.313979701021	3.05900891961e-08
g__Oxalobacter	 f__Oxalobacteraceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	g__Eubacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.258909600277	5.95066387871e-06
g__Oxalobacter	 f__Oxalobacteraceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	g__Desulfovibrio	 f__Desulfovibrionaceae	 o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__	0.288461940295	4.0454025712e-07
g__Oxalobacter	 f__Oxalobacteraceae	 o__Burkholderiales	 c__Betaproteobacteria	 p__Proteobacteria	k__	g__	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.259414515813	5.69844404854e-06
g__Dialister	 f__Veillonellaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Phascolarctobacterium	 f__Veillonellaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	-0.447751368932	4.24519347566e-16
g__	 f__	 o__	 c__Alphaproteobacteria	 p__Proteobacteria	k__	g__	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.26355869986	3.98018236283e-06
g__	 f__	 o__	 c__Alphaproteobacteria	 p__Proteobacteria	k__	g__	 f__Victivallaceae	 o__Victivallales	 c__Lentisphaerae	 p__Lentisphaerae	k__	0.282550300439	7.10480541042e-07
g__Turicibacter	 f__Turicibacteraceae	 o__Turicibacterales	 c__Bacilli	 p__Firmicutes	k__	g__	 f__Turicibacteraceae	 o__Turicibacterales	 c__Bacilli	 p__Firmicutes	k__	0.439875431502	1.56651015034e-15
g__Catenibacterium	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	g__Prevotella	 f__Prevotellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.311325755533	4.04827514904e-08
g__Catenibacterium	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	g__	 f__Anaeroplasmataceae	 o__Anaeroplasmatales	 c__Mollicutes	 p__Tenericutes	k__	0.466422735817	1.67346513449e-17
g__Eubacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__Porphyromonadaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.272900059686	1.73329824788e-06
g__Eubacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.403301195295	4.39733795553e-13
g__Eubacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.393768463805	1.7131360536e-12
g__Eubacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.457616438738	7.88231446361e-17
g__Eubacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__ClostridialesFamilyXIII.IncertaeSedis	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.357658877639	2.02012420981e-10
g__Eubacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Ruminococcus	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.314313783373	2.95241605259e-08
g__Eubacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Oscillospira	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.393442611845	1.79327669006e-12
g__Eubacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Coprococcus	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.403233612452	4.44062185723e-13
g__Eubacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.303329907052	9.262361218e-08
g__Eubacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Lachnobacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.291877574563	2.90452316701e-07
g__Eubacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Dehalobacterium	 f__Dehalobacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.316441727426	2.35299043638e-08
g__Eubacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.332173556772	4.15648841198e-09
g__Eubacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Faecalibacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.294397829137	2.26825404208e-07
g__Eubacterium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.401365140128	5.81664720774e-13
g__Desulfovibrio	 f__Desulfovibrionaceae	 o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__	g__	 f__Catabacteriaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.269150875683	2.42885578814e-06
g__Desulfovibrio	 f__Desulfovibrionaceae	 o__Desulfovibrionales	 c__Deltaproteobacteria	 p__Proteobacteria	k__	g__	 f__Veillonellaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.261042037368	4.95293570149e-06
g__Coprobacillus	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	g__Bacteroides	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.30716526196	6.2465811574e-08
g__Coprobacillus	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	g__Propionibacterium	 f__Propionibacteriaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__	0.281398641238	7.91681346669e-07
g__Coprobacillus	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	g__Eggerthella	 f__Coriobacteriaceae	 o__Coriobacteriales	 c__Actinobacteria	 p__Actinobacteria	k__	0.312659236478	3.51784190696e-08
g__Coprobacillus	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	g__Clostridium	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.276989015648	1.19276706891e-06
g__Dorea	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Bacteroides	 f__Bacteroidaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	-0.290696227559	3.25877269473e-07
g__Dorea	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Eubacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.254513934941	8.64318956487e-06
g__Dorea	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.265380065643	3.39289897669e-06
g__Dorea	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Subdoligranulum	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.296780680373	1.79146715126e-07
g__Dorea	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Oscillospira	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.29577094575	1.9803846279e-07
g__Dorea	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Clostridium	 f__Erysipelotrichaceae	 o__Erysipelotrichales	 c__Erysipelotrichi	 p__Tenericutes	k__	0.307751991678	5.87832704544e-08
g__Dorea	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Prevotella	 f__Prevotellaceae	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__	0.274833937601	1.45355843277e-06
g__Dorea	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Coprococcus	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.35785543636	1.9714427852e-10
g__Dorea	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Lachnobacterium	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.26913511075	2.43227816672e-06
g__Dorea	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__Roseburia	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.343898113403	1.06956094629e-09
g__Dorea	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.269800819649	2.29169682392e-06
g__Dorea	 f__Lachnospiraceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	g__	 f__Ruminococcaceae	 o__Clostridiales	 c__Clostridia	 p__Firmicutes	k__	0.330591886788	4.97024343981e-09
g__Klebsiella	 f__Enterobacteriaceae	 o__Enterobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	g__Escherichia	 f__Enterobacteriaceae	 o__Enterobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	0.25798841791	6.43844779176e-06
g__Klebsiella	 f__Enterobacteriaceae	 o__Enterobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	g__Raoultella	 f__Enterobacteriaceae	 o__Enterobacteriales	 c__Gammaproteobacteria	 p__Proteobacteria	k__	0.277389477224	1.14952159276e-06
