#SampleID	race
10317.000013829	Asian or Pacific Islander
10317.000015254	Caucasian
10317.000004793	Caucasian
10317.000004792	Asian or Pacific Islander
10317.000003226	Caucasian
10317.000003225	Caucasian
10317.000003221	Caucasian
10317.000012156	Caucasian
10317.000012154	Caucasian
10317.000012155	Caucasian
10317.000012158	Caucasian
10317.000002244	Caucasian
10317.000002243	Caucasian
10317.000008950A	Caucasian
10317.000036427	Caucasian
10317.000036934	Caucasian
10317.000036939	Caucasian
10317.000036428	Asian or Pacific Islander
10317.000016703	Caucasian
10317.000016702	Caucasian
10317.000016701	Caucasian
10317.000002793	Caucasian
10317.000006034	Caucasian
10317.000006036	Caucasian
10317.000043003	Caucasian
10317.000002064	Caucasian
10317.000014933	Caucasian
10317.000003838	Caucasian
10317.000014937	Caucasian
10317.000034132	Caucasian
10317.000010962	Asian or Pacific Islander
10317.000028955	Caucasian
10317.000042989	Caucasian
10317.000042981	Caucasian
10317.000022448	Caucasian
10317.000022444	Caucasian
10317.000008954B	Caucasian
10317.000013618	Caucasian
10317.000013619	Caucasian
10317.000009198	Caucasian
10317.000006625	Asian or Pacific Islander
10317.000006626	Asian or Pacific Islander
10317.000001072	Caucasian
10317.000014222	Caucasian
10317.000006952	Caucasian
10317.000020368	Caucasian
10317.000009105	Caucasian
10317.000009455	Caucasian
10317.000009101	Caucasian
10317.000009102	Caucasian
10317.000011375	Caucasian
10317.000011378	Caucasian
10317.000027353	Caucasian
10317.000005799	Caucasian
10317.000023984	Caucasian
10317.000005024	Caucasian
10317.000036071	Caucasian
10317.000004923	Caucasian
10317.000002261	Caucasian
10317.000002262	Caucasian
10317.000016723	Asian or Pacific Islander
10317.000016726	Caucasian
10317.000016729	Caucasian
10317.000006017	Caucasian
10317.000013265	Caucasian
10317.000001731	Caucasian
10317.000021178	Caucasian
10317.000001793	Caucasian
10317.000001794	Hispanic
10317.000001248	Caucasian
10317.000001531	Caucasian
10317.000010761	Caucasian
10317.000010183	Caucasian
10317.000015862	Caucasian
10317.000010984	Caucasian
10317.000010981	Caucasian
10317.000005898	Caucasian
10317.000009667	Caucasian
10317.000009661	Caucasian
10317.000003491	Caucasian
10317.000013986	Caucasian
10317.000013984	Caucasian
10317.000013453	Caucasian
10317.000017349	Caucasian
10317.000033803	Caucasian
10317.000036877	Caucasian
10317.000017357	Caucasian
10317.000017356	Caucasian
10317.000017354	Caucasian
10317.000017353	Caucasian
10317.000020347	Caucasian
10317.000003895	Asian or Pacific Islander
10317.000009472	Caucasian
10317.000009475	Caucasian
10317.000009476	Caucasian
10317.000011352	Caucasian
10317.000011357	Caucasian
10317.000011358	Caucasian
10317.000014877	Caucasian
10317.000015295	Caucasian
10317.000026028	Hispanic
10317.000004086	Asian or Pacific Islander
10317.000012112	Caucasian
10317.000012113	Caucasian
10317.000007039	Caucasian
10317.000023475	Asian or Pacific Islander
10317.000007037	Caucasian
10317.000002208	Caucasian
10317.000002202	Caucasian
10317.000002201	Caucasian
10317.000002205	Caucasian
10317.000041289	Hispanic
10317.000041282	Caucasian
10317.000013249	Caucasian
10317.000027617	Caucasian
10317.000013103	Caucasian
10317.000016749	Caucasian
10317.000016742	Caucasian
10317.000016741	Caucasian
10317.000016745	Caucasian
10317.000017161	Caucasian
10317.000017163	Caucasian
10317.000001516	Caucasian
10317.000010746	Caucasian
10317.000010748	Caucasian
10317.000031272	Caucasian
10317.000003358	Caucasian
10317.000004922	Caucasian
10317.000013952	Caucasian
10317.000004927	Caucasian
10317.000015594	Caucasian
10317.000009642	Caucasian
10317.000009648	Caucasian
10317.000004076	Caucasian
10317.000004075	Asian or Pacific Islander
10317.000004078	Caucasian
10317.000013471	Caucasian
10317.000014646	Caucasian
10317.000012872	Hispanic
10317.000012307	Caucasian
10317.000013431	Caucasian
10317.000002437	Caucasian
10317.000007677	Caucasian
10317.000015599	Caucasian
10317.000017088	Caucasian
10317.000017083	Caucasian
10317.000009419	Caucasian
10317.000002276	Caucasian
10317.000014678	Caucasian
10317.000018358	Caucasian
10317.000036039	Caucasian
10317.000010827	Caucasian
10317.000010821	Caucasian
10317.000010822	Caucasian
10317.000003061	Caucasian
10317.000006766	Caucasian
10317.000002882	Caucasian
10317.000002886	Caucasian
10317.000003287	Caucasian
10317.000003281	Caucasian
10317.000003282	Caucasian
10317.000002087	Caucasian
10317.000013222	Asian or Pacific Islander
10317.000033785	Caucasian
10317.000001756	Caucasian
10317.000016765	Caucasian
10317.000016764	Caucasian
10317.000016767	Caucasian
10317.000016766	Caucasian
10317.000016761	Caucasian
10317.000016763	Caucasian
10317.000016762	Caucasian
10317.000016769	Caucasian
10317.000016768	Caucasian
10317.000017146	Caucasian
10317.000001286	Caucasian
10317.000001284	Caucasian
10317.000001285	Caucasian
10317.000001575	Caucasian
10317.000001579	Caucasian
10317.000040358	Caucasian
10317.000040352	Caucasian
10317.000026549	Caucasian
10317.000020063	Caucasian
10317.000014197	Caucasian
10317.000031439	Caucasian
10317.000031434	Caucasian
10317.000014334	Caucasian
10317.000009621	Caucasian
10317.000009624	Caucasian
10317.000009628	Caucasian
10317.000004011	Caucasian
10317.000031926	Caucasian
10317.000003078	Caucasian
10317.000023808	Caucasian
10317.000006777	Caucasian
10317.000013652	Asian or Pacific Islander
10317.000013653	Caucasian
10317.000002146	Hispanic
10317.000002141	Caucasian
10317.000033665	Caucasian
10317.000033666	Caucasian
10317.000016405	Caucasian
10317.000016407	Caucasian
10317.000009433	Asian or Pacific Islander
10317.000001141	Caucasian
10317.000011315	Caucasian
10317.000018335	Caucasian
10317.000018338	Caucasian
10317.000007678	Caucasian
10317.000004249	African American
10317.000023129	Caucasian
10317.000022526	Hispanic
10317.000012401	Caucasian
10317.000003047	Asian or Pacific Islander
10317.000003732	Caucasian
10317.000008963	Caucasian
10317.000013758	Asian or Pacific Islander
10317.000013757	Caucasian
10317.000013756	Caucasian
10317.000013755	Caucasian
10317.000013201	Caucasian
10317.000006741	Caucasian
10317.000043083	Asian or Pacific Islander
10317.000001779	Caucasian
10317.000010919	Caucasian
10317.000033799	Caucasian
10317.000017125	Caucasian
10317.000017126	Caucasian
10317.000001805	Caucasian
10317.000029202	Caucasian
10317.000002606	Caucasian
10317.000014317	Caucasian
10317.000014313	Caucasian
10317.000014311	Caucasian
10317.000014318	Caucasian
10317.000027213	Caucasian
10317.000027217	Caucasian
10317.000037575	Caucasian
10317.000023828	Caucasian
10317.000028841	Caucasian
10317.000023823	Caucasian
10317.000003382	Caucasian
10317.000005928	Asian or Pacific Islander
10317.000005927	Caucasian
10317.000016752	Caucasian
10317.000016755	Caucasian
10317.000016756	Caucasian
10317.000016757	Caucasian
10317.000022999	Caucasian
10317.000022994	Caucasian
10317.000022993	Caucasian
10317.000002382	Caucasian
10317.000013697	Caucasian
10317.000006654	Caucasian
10317.000006657	Asian or Pacific Islander
10317.000002161	Caucasian
10317.000017335	Asian or Pacific Islander
10317.000017339	Caucasian
10317.000009593	Asian or Pacific Islander
10317.000002578	Caucasian
10317.000015394	Caucasian
10317.000001127	Caucasian
10317.000026106	Caucasian
10317.000026083	Asian or Pacific Islander
10317.000026081	Caucasian
10317.000042026	Caucasian
10317.000010867	Caucasian
10317.000010869	Caucasian
10317.000011192	Caucasian
10317.000002414	Caucasian
10317.000003718	Caucasian
10317.000009019	Caucasian
10317.000039813	Caucasian
10317.000013778	Caucasian
10317.000006728	Caucasian
10317.000006729	Caucasian
10317.000006899	Caucasian
10317.000006894	Caucasian
10317.000021267	Caucasian
10317.000006092	Asian or Pacific Islander
10317.000001827	Asian or Pacific Islander
10317.000027901	Caucasian
10317.000026501	Caucasian
10317.000026504	Caucasian
10317.000010104	Caucasian
10317.000010102	Caucasian
10317.000034194	Caucasian
10317.000005017	Caucasian
10317.000005015	Caucasian
10317.000014379	Caucasian
10317.000027277	Caucasian
10317.000015856	Caucasian
10317.000034147	Caucasian
10317.000002027	Caucasian
10317.000004631	Caucasian
10317.000004636	Caucasian
10317.000003366	Caucasian
10317.000003365	Caucasian
10317.000015355	Caucasian
10317.000023378	Caucasian
10317.000005907	Caucasian
10317.000003507	Caucasian
10317.000003508	Caucasian
10317.000013905	Caucasian
10317.000013902	Asian or Pacific Islander
10317.000014451	Caucasian
10317.000002369	Caucasian
10317.000002811	Asian or Pacific Islander
10317.000016446	Caucasian
10317.000005228	Caucasian
10317.000012999	Caucasian
10317.000012993	Caucasian
10317.000012991	Caucasian
10317.000012996	Asian or Pacific Islander
10317.000042001	Caucasian
10317.000010843	Caucasian
10317.000042009	Caucasian
10317.000010847	Caucasian
10317.000010845	Caucasian
10317.000009033	Caucasian
10317.000013573	Caucasian
10317.000015541	Caucasian
10317.000003193	Caucasian
10317.000006702	Caucasian
10317.000001732	Caucasian
10317.000029188	Caucasian
10317.000001734	Caucasian
10317.000003996	Caucasian
10317.000039831	Caucasian
10317.000033721	Caucasian
10317.000033728	Caucasian
10317.000002645	Caucasian
10317.000001595	Caucasian
10317.000031491	Hispanic
10317.000031493	Caucasian
10317.000043152	Caucasian
10317.000006794	Caucasian
10317.000018298	Caucasian
10317.000014357	Caucasian
10317.000026126	Caucasian
10317.000026127	Caucasian
10317.000006761	Caucasian
10317.000013965	Caucasian
10317.000002348	Caucasian
10317.000002349	Caucasian
10317.000012381	Caucasian
10317.000014172	Caucasian
10317.000014978	Caucasian
10317.000007865	Caucasian
10317.000014979	Caucasian
10317.000006113	Caucasian
10317.000002126	Caucasian
10317.000002125	Caucasian
10317.000039994	Caucasian
10317.000003837	Asian or Pacific Islander
10317.000001477	Caucasian
10317.000011956	Caucasian
10317.000011955	Caucasian
10317.000012976	Caucasian
10317.000012971	Caucasian
10317.000009231	Caucasian
10317.000004159	Caucasian
10317.000004158	Caucasian
10317.000004157	African American
10317.000003757	Caucasian
10317.000013551	Asian or Pacific Islander
10317.000022541	Asian or Pacific Islander
10317.000013734	Caucasian
10317.000013733	Caucasian
10317.000013732	Hispanic
10317.000002801	Caucasian
10317.000002805	Caucasian
10317.000008982	Caucasian
10317.000021229	Caucasian
10317.000021223	Caucasian
10317.000021226	Caucasian
10317.000001311	Caucasian
10317.000023088	Caucasian
10317.000026105	Caucasian
10317.000036399	Caucasian
10317.000001799	Caucasian
10317.000012017	Caucasian
10317.000012013	Caucasian
10317.000012011	Caucasian
10317.000002329	Caucasian
10317.000002325	Caucasian
10317.000002326	Caucasian
10317.000007666	African American
10317.000002494	Caucasian
10317.000002498	Hispanic
10317.000009213	Caucasian
10317.000013053	Caucasian
10317.000013055	Caucasian
10317.000013056	Caucasian
10317.000016484	Caucasian
10317.000016485	Caucasian
10317.000016488	African American
10317.000016489	Caucasian
10317.000028776	African American
10317.000031519	Caucasian
10317.000036094	Caucasian
10317.000014259	Caucasian
10317.000014258	Caucasian
10317.000010881	Caucasian
10317.000036191	Caucasian
10317.000009214	Caucasian
10317.000009219	Caucasian
10317.000009218	Caucasian
10317.000020067	Caucasian
10317.000009075	Caucasian
10317.000009074	Caucasian
10317.000012959	Caucasian
10317.000012951	Caucasian
10317.000013539	Caucasian
10317.000011025	Caucasian
10317.000035347	Caucasian
10317.000013286	Caucasian
10317.000038479	Asian or Pacific Islander
10317.000038478	Asian or Pacific Islander
10317.000012228	Caucasian
10317.000011026	Caucasian
10317.000001929	Caucasian
10317.000016347	Caucasian
10317.000002687	Caucasian
10317.000001882	Caucasian
10317.000043117	Caucasian
10317.000001086	Caucasian
10317.000001333	Caucasian
10317.000014132	Caucasian
10317.000014136	Caucasian
10317.000014134	Caucasian
10317.000010169	Caucasian
10317.000002036	Asian or Pacific Islander
10317.000014399	Caucasian
10317.000014397	Caucasian
10317.000014392	Caucasian
10317.000014391	Caucasian
10317.000022662	Caucasian
10317.000022661	Caucasian
10317.000012034	Caucasian
10317.000015912	Asian or Pacific Islander
10317.000006839	Caucasian
10317.000013079	Caucasian
10317.000001654	Caucasian
10317.000003879	Caucasian
10317.000044399	Caucasian
10317.000001438	Caucasian
10317.000001435	Caucasian
10317.000001436	Caucasian
10317.000030771	Caucasian
10317.000014897	Caucasian
10317.000028759	Caucasian
10317.000028755	Caucasian
10317.000014095	Caucasian
10317.000015901	Asian or Pacific Islander
10317.000004285	Caucasian
10317.000018424	Caucasian
10317.000018426	Caucasian
10317.000010207	Caucasian
10317.000003266	Caucasian
10317.000011962	Caucasian
10317.000018398	Caucasian
10317.000009097	Caucasian
10317.000009098	Caucasian
10317.000035361	Caucasian
10317.000012936	Caucasian
10317.000006818	Caucasian
10317.000022498	Caucasian
10317.000012202	Caucasian
10317.000012201	Caucasian
10317.000004161	Caucasian
10317.000012209	Caucasian
10317.000018318	Caucasian
10317.000002512	Caucasian
10317.000002511	Caucasian
10317.000040395	Caucasian
10317.000033748	Asian or Pacific Islander
10317.000014012	Caucasian
10317.000017183	Caucasian
10317.000017185	Caucasian
10317.000027761	Caucasian
10317.000027762	Caucasian
10317.000001351	Caucasian
10317.000001353	Caucasian
10317.000005989	Caucasian
10317.000026638	Caucasian
10317.000026639	Caucasian
10317.000026633	Caucasian
10317.000015605	Caucasian
10317.000012055	Caucasian
10317.000010285	Caucasian
10317.000015933	Caucasian
10317.000037489	Caucasian
10317.000037487	Caucasian
10317.000002184	Caucasian
10317.000002185	Caucasian
10317.000001189	Caucasian
10317.000018401	Asian or Pacific Islander
10317.000018408	Caucasian
10317.000018409	Caucasian
10317.000009527	Caucasian
10317.000009526	Caucasian
10317.000009529	Caucasian
10317.000009497	Caucasian
10317.000011248	Caucasian
10317.000012914	Caucasian
10317.000005848	Caucasian
10317.000005849	Caucasian
10317.000005845	Caucasian
10317.000005846	Asian or Pacific Islander
10317.000011409	Caucasian
10317.000012263	Caucasian
10317.000013798	Caucasian
10317.000027295	Caucasian
10317.000013134	Caucasian
10317.000018434	Caucasian
10317.000010161	Caucasian
10317.000003536	Caucasian
10317.000026613	Caucasian
10317.000014684	Hispanic
10317.000015627	Hispanic
10317.000012072	Caucasian
10317.000004872	Caucasian
10317.000016408	Caucasian
10317.000014538	Asian or Pacific Islander
10317.000004705	Caucasian
10317.000004703	Caucasian
10317.000001811	Asian or Pacific Islander
10317.000013306	Caucasian
10317.000001965	Caucasian
10317.000016177	Caucasian
10317.000036943	Caucasian
10317.000028719	Caucasian
10317.000028718	Caucasian
10317.000028715	Caucasian
10317.000028711	Caucasian
10317.000028712	Caucasian
10317.000002709	Caucasian
10317.000010797	Caucasian
10317.000014054	Caucasian
10317.000002418b	Caucasian
10317.000002418a	Caucasian
10317.000016718	Caucasian
10317.000014949	Caucasian
10317.000014234	Caucasian
10317.000014237	Caucasian
10317.000014236	Caucasian
10317.000014233	Caucasian
10317.000014232	Caucasian
10317.000011049	Caucasian
10317.000011048	Caucasian
10317.000018025	Caucasian
10317.000018027	Caucasian
10317.000015542	Caucasian
10317.000003423	Caucasian
10317.000022663	Caucasian
10317.000013156	Caucasian
10317.000036165	Caucasian
10317.000036166	Caucasian
10317.000020388	African American
10317.000012242	Caucasian
10317.000011036	Caucasian
10317.000013119	Caucasian
10317.000013117	Caucasian
10317.000006671	Asian or Pacific Islander
10317.000027729	Caucasian
10317.000001026	Caucasian
10317.000001391	Caucasian
10317.000001399	Asian or Pacific Islander
10317.000009193	Caucasian
10317.000004819	Caucasian
10317.000004813	Caucasian
10317.000014551	Caucasian
10317.000014556	Caucasian
10317.000014559	Asian or Pacific Islander
10317.000002878	Caucasian
10317.000003091	Asian or Pacific Islander
10317.000003092	Caucasian
10317.000001948	Caucasian
10317.000007732	Hispanic
10317.000007734	Caucasian
10317.000003896	Caucasian
10317.000017205	Asian or Pacific Islander
10317.000017208	Caucasian
10317.000031593	Caucasian
10317.000009566	Caucasian
10317.000001234	Caucasian
10317.000030756	Caucasian
10317.000030751	Caucasian
10317.000010263	Asian or Pacific Islander
10317.000009385	Caucasian
10317.000009382	Caucasian
10317.000015568	Caucasian
10317.000005802	Caucasian
10317.000005805	Caucasian
10317.000036102	Caucasian
10317.000036101	Caucasian
10317.000010918	Caucasian
10317.000036106	Caucasian
10317.000036109	Caucasian
10317.000023213	Caucasian
10317.000001652	Caucasian
10317.000006651	Caucasian
10317.000006653	Caucasian
10317.000013421	Caucasian
10317.000013171	Caucasian
10317.000013174	Asian or Pacific Islander
10317.000013178	Caucasian
10317.000001004	Caucasian
10317.000002059	Asian or Pacific Islander
10317.000001001	Caucasian
10317.000010548	Caucasian
10317.000017074	Caucasian
10317.000017075	Caucasian
10317.000017071	Caucasian
10317.000017079	Caucasian
10317.000027879	Caucasian
10317.000003731	Caucasian
10317.000026658	Caucasian
10317.000009174	Caucasian
10317.000009178	Asian or Pacific Islander
10317.000004291	Caucasian
10317.000014571	Asian or Pacific Islander
10317.000003559	Caucasian
10317.000027308	Caucasian
10317.000009716	Caucasian
10317.000023972	Caucasian
10317.000015224	Caucasian
10317.000002963	Caucasian
10317.000007719	Caucasian
10317.000003216	Caucasian
10317.000003214	Caucasian
10317.000039952	Caucasian
10317.000036901	Caucasian
10317.000001922	Caucasian
10317.000020104	Caucasian
10317.000002749	Caucasian
10317.000002038	Caucasian
10317.000002035	Asian or Pacific Islander
10317.000006047	Caucasian
10317.000017269	Caucasian
10317.000017265	Caucasian
10317.000027681	Caucasian
10317.000041962	Caucasian
10317.000001216	Caucasian
10317.000014019	Caucasian
10317.000014018	Caucasian
10317.000011225	Caucasian
10317.000011224	Caucasian
10317.000011223	Caucasian
10317.000014909	Caucasian
10317.000036124	Caucasian
10317.000015538	Caucasian
10317.000013159	Caucasian
10317.000013155	Caucasian
10317.000006678	Caucasian
10317.000006675	Caucasian
10317.000017671	Caucasian
10317.000001025	Hispanic
10317.000006909	Caucasian
10317.000010205	Caucasian
10317.000010546	Caucasian
10317.000010544	Asian or Pacific Islander
10317.000014594	Caucasian
10317.000014593	Caucasian
10317.000004821	Asian or Pacific Islander
10317.000011145	Caucasian
10317.000013814	Caucasian
10317.000004765	Caucasian
10317.000006027	Caucasian
10317.000006026	Caucasian
10317.000006029	Caucasian
10317.000002019	Caucasian
10317.000013498	Hispanic
10317.000001275	Caucasian
10317.000010737	Caucasian
10317.000010732	Caucasian
10317.000010738	Caucasian
10317.000014929	Caucasian
10317.000014293	Asian or Pacific Islander
10317.000014291	Caucasian
10317.000014295	Caucasian
10317.000014922	Caucasian
10317.000034127	Caucasian
10317.000034126	Caucasian
10317.000004974	Caucasian
10317.000004973	Caucasian
10317.000004972	Caucasian
10317.000004979	Caucasian
10317.000009236	Caucasian
10317.000015525	Caucasian
10317.000036437	Caucasian
10317.000042999	Caucasian
10317.000011093	Caucasian
10317.000013609	Caucasian
10317.000013608	Caucasian
10317.000007697	Caucasian
10317.000007693	Caucasian
10317.000013604	Caucasian
10317.000006619	Caucasian
10317.000016381	Caucasian
10317.000006929	Caucasian
10317.000002466	Caucasian
10317.000002465	Caucasian
10317.000006021	Caucasian
10317.000017652	Caucasian
10317.000014607	Caucasian
10317.000010565	Caucasian
10317.000010567	Caucasian
10317.000005163	Caucasian
10317.000011389	Caucasian
10317.000031851	Caucasian
10317.000011162	Caucasian
10317.000011163	Caucasian
10317.000011168	Caucasian
10317.000015265	Caucasian
10317.000015264	Caucasian
10317.000007068	Caucasian
10317.000015263	Caucasian
10317.000008951A	Caucasian
10317.000008951B	Caucasian
10317.000002922	Caucasian
10317.000012123	Caucasian
10317.000012122	Asian or Pacific Islander
10317.000016716	Hispanic
10317.000016717	Caucasian
10317.000028793	Caucasian
10317.000016719	Caucasian
10317.000002781	Caucasian
10317.000002071	Caucasian
10317.000002079	Caucasian
10317.000038417	Caucasian
10317.000013852	Caucasian
10317.000027648	Caucasian
10317.000027644	Caucasian
10317.000001782	Caucasian
10317.000001786	Caucasian
10317.000001789	Caucasian
10317.000001529	Caucasian
10317.000001528	Caucasian
10317.000001524	Asian or Pacific Islander
10317.000002013	Hispanic
10317.000010714	Caucasian
10317.000010712	Asian or Pacific Islander
10317.000030735	Caucasian
10317.000005576	Asian or Pacific Islander
10317.000005571	Caucasian
10317.000026595	Caucasian
10317.000031284	Caucasian
10317.000010979	Caucasian
10317.000009677	Caucasian
10317.000009676	Caucasian
10317.000013197	Caucasian
10317.000006636	Caucasian
10317.000006637	Caucasian
10317.000006635	Caucasian
10317.000001067	Caucasian
10317.000001065	Caucasian
10317.000014612	Caucasian
10317.000006944	Caucasian
10317.000002443	Caucasian
10317.000002444	Caucasian
10317.000002446	Caucasian
10317.000017636	Caucasian
10317.000020358	African American
10317.000009447	Caucasian
10317.000009117	Caucasian
10317.000009118	Caucasian
10317.000027363	Caucasian
10317.000018369	Caucasian
10317.000008957B	Caucasian
10317.000008957A	Caucasian
10317.000036068	Caucasian
10317.000036069	Caucasian
10317.000036067	Caucasian
10317.000013859	Caucasian
10317.000006795	Caucasian
10317.000002274	Caucasian
10317.000002272	Caucasian
10317.000002271	Hispanic
10317.000002051	Caucasian
10317.000002056	Caucasian
10317.000013277	Caucasian
10317.000016738	Caucasian
10317.000016739	Caucasian
10317.000016736	Caucasian
10317.000016737	Caucasian
10317.000016734	Caucasian
10317.000016735	Caucasian
10317.000016731	Caucasian
10317.000027194	Asian or Pacific Islander
10317.000017173	Caucasian
10317.000017171	Caucasian
10317.000010773	Caucasian
10317.000010776	Caucasian
10317.000034121	Caucasian
10317.000005085	Caucasian
10317.000013215	Caucasian
10317.000015874	Caucasian
10317.000005553	Caucasian
10317.000023299	Asian or Pacific Islander
10317.000018083	Caucasian
10317.000009659	Caucasian
10317.000005885	Caucasian
10317.000005887	Caucasian
10317.000037582	Asian or Pacific Islander
10317.000037584	Caucasian
10317.000013648	Hispanic
10317.000007077	Caucasian
10317.000040003	Caucasian
10317.000040002	Hispanic
10317.000040007	Caucasian
10317.000016699	Caucasian
10317.000016698	Caucasian
10317.000016697	Asian or Pacific Islander
10317.000017343	Caucasian
10317.000010693	Caucasian
10317.000011342	Caucasian
10317.000011341	Caucasian
10317.000031891	Caucasian
10317.000018345	Caucasian
10317.000026037	Caucasian
10317.000036045	Caucasian
10317.000010834	Caucasian
10317.000010833	Caucasian
10317.000010832	Caucasian
10317.000002529	Caucasian
10317.000006778	Caucasian
10317.000036451	Asian or Pacific Islander
10317.000005987	Asian or Pacific Islander
10317.000005454	Caucasian
10317.000013258	Asian or Pacific Islander
10317.000001747	Caucasian
10317.000001749	Caucasian
10317.000003922	Caucasian
10317.000016759	Caucasian
10317.000026632	Caucasian
10317.000016754	Caucasian
10317.000010757	Caucasian
10317.000031796	Caucasian
10317.000014188	Caucasian
10317.000008950B	Caucasian
10317.000015604	Caucasian
10317.000004915	Caucasian
10317.000014458	Caucasian
10317.000014327	Caucasian
10317.000014324	Caucasian
10317.000014323	Caucasian
10317.000004918	Caucasian
10317.000015581	Caucasian
10317.000015584	Caucasian
10317.000015587	Caucasian
10317.000012052	African American
10317.000004009	Caucasian
10317.000017114	Caucasian
10317.000036422	Caucasian
10317.000015329	Caucasian
10317.000023819	Caucasian
10317.000011018	Caucasian
10317.000012318	Caucasian
10317.000001047	Caucasian
10317.000002067	Caucasian
10317.000016414	Caucasian
10317.000017098	Caucasian
10317.000017093	Asian or Pacific Islander
10317.000017095	Caucasian
10317.000011329	Caucasian
10317.000014666	Hispanic
10317.000014667	Caucasian
10317.000014668	Caucasian
10317.000004278	Caucasian
10317.000040048	Caucasian
10317.000026056	Caucasian
10317.000023487	Caucasian
10317.000007005	Caucasian
10317.000003729	Caucasian
10317.000002898	Caucasian
10317.000008976	Caucasian
10317.000013238	Caucasian
10317.000043092	Caucasian
10317.000001765	Caucasian
10317.000001764	Caucasian
10317.000016772	Caucasian
10317.000016773	Caucasian
10317.000021237	Caucasian
10317.000017133	Caucasian
10317.000001546	Caucasian
10317.000040348	Caucasian
10317.000020071	Caucasian
10317.000020072	Caucasian
10317.000031222	Caucasian
10317.000005041	Caucasian
10317.000014309	Caucasian
10317.000014308	Caucasian
10317.000004642	Asian or Pacific Islander
